"Ad ID","Ad Text","Ad Landing Page","Ad Targeting Location","Excluded Connections","Age","Language","Placements","People Who Match","Friends of Connections","Ad Impressions","Ad Clicks","Ad Spend","Ad Creation Date","Ad End Date"
"3152","""You don't have to be a man to fight for freedom. All you have to do is to be
an intelligent human being."" - Malcolm X ??
#melaninqueen #dope #beautiful #wakeup #wewillsurvive #organize
#WillSims #joshuabeal #altonsterling #TerenceCrutcher #westandtogether
#blacklivesmatter #unite4justice #november8 #elections2016 #black #melanin
#blackisbeautiful #blacklivesmatter #blackgirlmagic #USA #blackandproud
#democrat #republican #Africanamerican #unite4justice #vote #breakingnews","https://www.facebook.com/Woke-Blacks-294234600956431/","- Living In: United States
Interests: Martin Luther King, Jr., African-American culture, African-American
Civil Rights Movement (1954-68), African-American history, Black
Consciousness Movement or Malcolm X","N/A","18 - 65+","N/A","News Feed on desktop computers or News Feed on mobile
devices","N/A","N/A","344","51","22.53 RUB","12/09/16 06:06:21 AM PST","12/10/16 06:06:21 AM PST"
"2752","Community of real heroes who risk their lives to Make America Safe Again!","https://www.facebook.com/Back-the-Badge-341177102896426/","United States","N/A","16 - 50","English (UK)or English (US)","on pages: News Feed on desktop computers, Instagram Feed,
News Feed on mobile devices or Right column on desktop computers","Interests: State police, Support Law Enforcement, Fallen
Police Officers, The Thin Blue Line, Law enforcement, Police officer, Law
enforcement agency or Heroes Behind The Badge","N/A","1,914","0","823.53 RUB","10/14/16 07:43:20 AM PDT","N/A"
"2745","Community of people who support our brave heroes.","https://www.facebook.com/Back-the-Badge-341177102896426/","- Living In: United States","N/A","24 - 45","N/A","News Feed on desktop computers, News Feed on mobile
devices or Right column on desktop computers","Interests: State police, Law enforcement in the United
States, Police, Law enforcement or Police officer
And Must Also Match: Interests Support Law Enforcement, The Thin Blue
Line. Officer Down Memorial Page, The Thin Blue Line (emblem). Police
Wives Unite, National Police Wives Association or Heroes Behind The Badge","N/A","0","0","None","10/18/16 08:11:38 AM PDT","N/A"
"3285","Fatherhood is a very natural thing ; it's not something that shakes up my life
but rather it enriches it. -Andrea Bocelli-","https://www.facebook.com/Hell_and_Back-1806743482876111/","- Living In: United States","N/A","18 - 65+","N/A","News Feed on desktop computers or News Feed on mobile
devices","Interests: Prison Voices , Incarceration in the United
States, Detention (imprisonment), Innocence Project, Prison reform, Prisoner,
Children Of Inmates or Prison Wives","N/A","396","30","200.00 RUB","12/29/16 03:03:47 AM PST","12/30/16 03:03:47 AM PST"
"732","Texas - homeland of guns, BBQ, and ur heart","https://www.facebook.com/timetosecede/","United States: Texas
Interests: Independence or Patriotism","Exclude people who like Heart of Texas","18 - 65+","English (UK)or English (US)","News Feed on desktop computers or News Feed on mobile
devices","N/A","N/A","0","0","None","10/11/16 07:47:39 AM PDT","N/A"
"3144","Staying Woke,building-up our communities,uplifting people. Join us! Woke
Blacks","https://www.facebook.com/Woke-Blacks-294234600956431","- Living In: United States","Exclude people who like Woke Blacks","18 - 65+","English (US)","News Feed on desktop computers, News Feed on mobile
devices or Right column on desktop computers","Interests: Martin Luther King, Jr., African-American Civil
Rights Movement (1954-68), African-American history or Malcolm X","N/A","0","0","None","12/01/16 07:45:32 AM PST","N/A"
"846","Tell me once again that there is no such thing as white privilege.","https://www.facebook.com/WilliamsKalvin-788980617892144/","United States
Interests: Martin Luther King, Jr., African-American Civil Rights Movement
(1954-68), African-American history or Malcolm X","N/A","18 - 50","N/A","News Feed on desktop computers or News Feed on mobile
devices","N/A","N/A","4,657","897","248.30 RUB","10/20/16 08:04:02 AM PDT","10/21/16 08:04:01 AM PDT"
"746","Texas - homeland of guns, BBQ, and ur heart","https://www.facebook.com/timetosecede/","United States: Texas
Interests: Independence or Patriotism","Exclude people who like Heart of Texas","18 - 65+","English (UK)or English (US)","News Feed on desktop computers or News Feed on mobile
devices","N/A","N/A","0","0","None","10/11/16 07:47:39 AM PDT","N/A"
"863","Black America is not into politics. This is not our game and we don't want to
play with whites.
You know why? Because I don't give a fuck about it! I really don't care and
don't know why any black American should care anyhow.
We have our own life and our own future in this country.
Subscribe to our channel:
https://www.youtube.com/channel/UCSbzPCwUDPvDCR6VRaOcDtg
Follow my Facebook: https://www.facebook.comnVilliamsandKalvin
Follow me on Instagram: https://www.instagram.com/williams.and.kalvin
Follow me on Twitter: https://twitter.com/Williams8kalvin","https://www.facebook.comnViIliamsKalvin-788980617892144/","United States
Interests: Martin Luther King, Jr., Police Brutality is a Crime, African-American
culture, African-American Civil Rights Movement (1954-68), African-American
history, Police brutality in the United States, Stop Police Brutality, Malcolm X
or Union of Huffington Post Writers and Bloggers","N/A","18 - 50","N/A","News Feed on desktop computers or News Feed on mobile
devices
Interest expansion: On","N/A","N/A","0","0","0","11/18/16 08:16:22 AM PST","11/19/16 08:16:22 AM PST"
"1125","Show your support! Buy this cool stuff. Simple and cool. Black Is Beautiful","N/A","United States","N/A","16 - 65+","English (UK) or English (US)","News Feed on desktop computers or News Feed on mobile
devices","Interests: Pan-Africanism, African-American Civil Rights
Movement (1954-68), African-American history or Black (Color)","N/A","7,911","392","400.00 RUB","12/06/16 11:31:19 PM PST","12/07/16 11:31:19 PM PST"
"1135","Things every black person needs to know.","https://www.facebook.com/blacktivists/","United States","N/A","16 - 65+","English (UK) or English (US)","News Feed on desktop computers or News Feed on mobile
devices","Interests: Pan-Africanism, African-American Civil Rights
Movement (1954-68), African-American history or Black (Color)","N/A","8,574","1,102","218.18 RUB","12/09/16 07:56:13 AM PST","12/10/16 07:56:13 AM PST"
"2499","Rochester Police Officers tased black man for dancing. #OnlylnPoliceState","https://www.facebook.com/blackmattersus.mvmnt/","- Living In: United States
Interests: Martin Luther King, Jr., African-American Civil Rights Movement
(1954-68), African-American history, Malcolm X or Black (Color)","N/A","18 65+","N/A","News Feed on desktop computers or News Feed on mobile
devices","N/A","N/A","15,063","2,276","282.74 RUB","11/01/16 08:04:11 AM PDT","11/02/16 08:04:10 AM PDT"
"1087","Positive young black men serving this country will not be on any news outlet.
Thar s why we decided to post it here.","https://www.facebook.com/Blacktivist-128371547505950/","United States
Interests: Black nationalism, Pan-Africanism, African-American culture,
African-American Civil Rights Movement (1954--68), African-American history,
Black Consciousness Movement, Martin Luther King Ill or Black (Color)","N/A","16 - 65+","English (UK) or English (US)","News Feed on desktop computers or News Feed on mobile
devices","N/A","N/A","12,055","1,781","400.00 RUB","10/18/16 06:57:44 AM PDT","10/19/16 06:57:43 AM PDT"
"2289","On November 15, 2015, Jamar Clark. a 24-year-old black man, was fatally
shot by two Minneapolis cops. According to witnesses. Jamar was handcuffed
when he was shot.
Killer cops involved in the shooting won't face discipline. Chief Janee Harteau
recently said that an internal investigation found the officers were warranted in
using deadly force in the death of the 24-year-old black man.
It's been a year since he died. Justice still hasn't been served.
Come out to honor the memory of Jamar on November 19. We won't stop
until change is here!
#blacklivesmatter Remember Jamar Clark","https://www.facebook.com/events/327360504287699/","- Living In: United States: New York (+25 mi) New York","N/A","16 - 65+","English (UK) or English (US)","News Feed on desktop computers or News Feed on mobile
devices","Interests: Martin Luther King, Jr., Black Power, African-
American Civil Rights Movement(1954-68), African-American history, Angela
Davis. Malcolm X or Cop Block","N/A","15,953","1,112","4.731.05 RUB","11/03/16 12:29:17 AM PDT","11/19/16 12:00:00 AM PST"
